"id","n","tipo"
"Alpha",263,"Revista"
"Athenea",125,"Revista"
"Caminos. Revista Quincenal de Letras",31,"Revista"
"Claridad: revista semanal",283,"Revista"
"Cvltura. Revista mensual",114,"Revista"
"Cyrano",110,"Revista"
"Cántico",13,"Revista"
"El Montañés",68,"Revista"
"El Repertorio. Revista Mensual Ilustrada",79,"Revista"
"Hispania",273,"Revista"
"Hojas de Poesía",15,"Revista"
"La Bohemia Alegre",32,"Revista"
"La Buena Lectura",173,"Revista"
"La Escuela Literaria. Publicación mensual",16,"Revista"
"La Golondrina. Hoja literaria y de variedades",41,"Revista"
"La Gruta",82,"Revista"
"La Revista",152,"Revista"
"Lectura Amena",150,"Revista"
"Lectura y Arte",84,"Revista"
"Panida",68,"Revista"
"Revista Contemporánea",40,"Revista"
"Revista Contemporánea. Publicación mensual",69,"Revista"
"Revista Femenina",111,"Revista"
"Revista Gris",115,"Revista"
"Revista Literaria. Publicación Mensual",229,"Revista"
"Revista Moderna. (Enciclopedia colombiana)",140,"Revista"
"Sábado Revista Semanal",542,"Revista"
"Trofeos",94,"Revista"
"A.",1,"Persona"
"A. A. J.",1,"Persona"
"A. de M.",1,"Persona"
"A. G.",1,"Persona"
"A. H.",3,"Persona"
"A. Z.",1,"Persona"
"Abad",3,"Persona"
"Abella-Nouvrac, Louis",4,"Persona"
"Abella Mendoza, Temístocles",8,"Persona"
"Acab Ibisabizurri, Miguel",1,"Persona"
"Acebal, Francisco",2,"Persona"
"Acevedo Bernal, Ricardo",3,"Persona"
"Acevedo, Arturo",1,"Persona"
"Acevedo, Graciliano",1,"Persona"
"Acosta de Samper, Soledad",4,"Persona"
"Acosta y Bello, José Agustín",1,"Persona"
"Acosta, Javier",16,"Persona"
"Adiante, Tomás",1,"Persona"
"Agudelo Mejía, Rosa",1,"Persona"
"Agudelo, Gilberto",6,"Persona"
"Agudelo, Gregorio",6,"Persona"
"Agudelo, Miguel",1,"Persona"
"Agudelo, Rafael",1,"Persona"
"Aguilera Herrera, Benjamín",4,"Persona"
"Aguirre, Carlos Arturo",3,"Persona"
"Agustín",1,"Persona"
"Aimayaga, Juan de",1,"Persona"
"Alarcón, Pedro Antonio de",3,"Persona"
"Alas, Leopoldo",3,"Persona"
"Alba Barrenechea, Antonio",1,"Persona"
"Alba, E.",1,"Persona"
"Albalat, Antoine",2,"Persona"
"Alberdi, Juan Bautista",1,"Persona"
"Albert, Caterina",1,"Persona"
"Alcalá Galiano, José",1,"Persona"
"Alcántara Jurado, Francisco",1,"Persona"
"Alemán, Mateo",1,"Persona"
"Alexis Rostand, Edmond Eugène",2,"Persona"
"Aliatar, Alí-Ben",13,"Persona"
"Allais, Alphonse",2,"Persona"
"Altamira, Rafael",7,"Persona"
"Altenberg, Peter",5,"Persona"
"Altomare, Libero",1,"Persona"
"Álvarez Bonilla, Enrique",2,"Persona"
"Álvarez C., Manuel J.",1,"Persona"
"Álvarez del Vayo, Julio",1,"Persona"
"Álvarez Lleras, Antonio",1,"Persona"
"Álvarez Quintero, Joaquín",5,"Persona"
"Álvarez Quintero, Serafín",5,"Persona"
"Álvarez R., Lisandro",22,"Persona"
"Álvarez Ríos, María",5,"Persona"
"Álvarez, Antonio",8,"Persona"
"Álvarez, Bernardo",1,"Persona"
"Alzate B., Delio",1,"Persona"
"Alzate Noreña, Luis",12,"Persona"
"Amaru",4,"Persona"
"Amaya, Euquerio",2,"Persona"
"Americus",2,"Persona"
"Amézaga, Carlos Germán",1,"Persona"
"Amicis, Edmondo de",4,"Persona"
"Amiel, Henri-Frédéric",1,"Persona"
"Ancízar, Roberto",2,"Persona"
"Anderson Morúa, Luis",1,"Persona"
"Andrade Coello, Alejandro",1,"Persona"
"Andrade Marín, Francisco",2,"Persona"
"Andrade, José Arturo",3,"Persona"
"Andreev, Leonid Nikolaevich",2,"Persona"
"Andreis, Fernando de",2,"Persona"
"Ángel Montoya, Alberto",1,"Persona"
"Ángel, Juan E.",1,"Persona"
"Angell, George Thorndike",1,"Persona"
"Angulo J., Enriqueta",4,"Persona"
"Angulo Peláez, Ligia",3,"Persona"
"Antoine",2,"Persona"
"Antommarchi de Rojas, Dorila",2,"Persona"
"Aparicio, Alberto",1,"Persona"
"Aponte, E.",1,"Persona"
"Aragonés, Eutiquio",1,"Persona"
"Aramburo Restrepo, Gabriel",2,"Persona"
"Arango Echeverri, Alcides",5,"Persona"
"Arango Ferrer, Javier",6,"Persona"
"Arango Jaramillo, Adelfa",11,"Persona"
"Arango Lalinde, Rafael",1,"Persona"
"Arango M., Miguel",1,"Persona"
"Arango Mejía, Gabriel",4,"Persona"
"Arango Mejía, Juan Bautista",2,"Persona"
"Arango Ochoa, Eduardo",1,"Persona"
"Arango R., José Manuel",3,"Persona"
"Arango, Jorge Luis",1,"Persona"
"Arango, Olga",1,"Persona"
"Arango, Pedro C.",2,"Persona"
"Araquistáin, Luis",21,"Persona"
"Arboleda, Arturo",1,"Persona"
"Arbós y Góngora",4,"Persona"
"Arce, Julio César",9,"Persona"
"Archer, William",1,"Persona"
"Arcila, Aníbal",1,"Persona"
"Arciniegas, Germán",6,"Persona"
"Arciniegas, Ismael Enrique",13,"Persona"
"Arenal, Concepción",2,"Persona"
"Arguedas Díaz, Alcides",3,"Persona"
"Arias Argáez, Daniel",2,"Persona"
"Armas, Rafael de",1,"Persona"
"Arnault, Antoine-Vincent",1,"Persona"
"Arrieta, Rafael Alberto",1,"Persona"
"Arriola de Bezoita, Jesús",1,"Persona"
"Arroyal, León de",1,"Persona"
"Arteaga, Cristina de",1,"Persona"
"Arturo, Aurelio",13,"Persona"
"Asbjørnsen, Peter Christen",1,"Persona"
"Atehortua, Abelardo",4,"Persona"
"Ateneo de Buenos Aires",1,"Persona"
"Attías, Maximiliano",1,"Persona"
"Aurora",1,"Persona"
"Avalos Torrens, Pedro",1,"Persona"
"Ávila, Alfonso María de",2,"Persona"
"Aza, Vital",1,"Persona"
"Azurdia, José",2,"Persona"
"B.",1,"Persona"
"B. Isaza",18,"Persona"
"B. M.",6,"Persona"
"Bacon, Francis",1,"Persona"
"Badel Martínez, Dimas José",3,"Persona"
"Baena, Fernando E.",2,"Persona"
"Bagaría Bou, Luis",5,"Persona"
"Bahr, Hermann",1,"Persona"
"Bai, Li",1,"Persona"
"Balaguer i Cirera, Víctor",1,"Persona"
"Balart, Federico",5,"Persona"
"Balbin de Unquera, Antonio",2,"Persona"
"Balla, Giacomo",1,"Persona"
"Ballvé, Faustino",16,"Persona"
"Balseiro, José Agustín",1,"Persona"
"Baralt, Rafael María",1,"Persona"
"Baraya, Antonio",1,"Persona"
"Barbier, Auguste",1,"Persona"
"Barco, Jesús María",1,"Persona"
"Bardina Castarà, Joan",1,"Persona"
"Baring, Maurice",2,"Persona"
"Barón de Franzenstein",1,"Persona"
"Barón, Felipe",2,"Persona"
"Barrau, Théophile",1,"Persona"
"Barrenechea, Julio",16,"Persona"
"Barrera Parra, Jaime",1,"Persona"
"Barrera Vargas, Camilo",1,"Persona"
"Barrera, Carlos",1,"Persona"
"Barrès, Maurice",4,"Persona"
"Barreto, José María",1,"Persona"
"Barrett, John",1,"Persona"
"Barrett, Rafael",1,"Persona"
"Barrientos Conto, A.",2,"Persona"
"Barriga Páez, Julio",1,"Persona"
"Barriga S., R. Alberto",1,"Persona"
"Bárros, José A.",1,"Persona"
"Bartrina, Joaquín María",1,"Persona"
"Barzini, Luigi",1,"Persona"
"Basto, Carlos María",1,"Persona"
"Bataille, Henry",1,"Persona"
"Baty, Th.",2,"Persona"
"Batzojaun",1,"Persona"
"Baudelaire, Charles",2,"Persona"
"Bayona Posada, Jorge",5,"Persona"
"Bayona Posada, Nicolás",1,"Persona"
"Bazin, René",1,"Persona"
"Beaunier, André",1,"Persona"
"Beceridge, Hugh",1,"Persona"
"Becerra C., Amanda",1,"Persona"
"Becerra, Ricardo",1,"Persona"
"Becher, Johannes Robert",4,"Persona"
"Bécquer, Gustavo Adolfo",3,"Persona"
"Bedout, C. de",1,"Persona"
"Bel, León",4,"Persona"
"Bellaigue, Camile",1,"Persona"
"Bello, Andrés",1,"Persona"
"Belloc, Hilaire",1,"Persona"
"Bellom, Maurice M.",1,"Persona"
"Benavente, Jacinto",8,"Persona"
"Benet y Castellón, Eduardo",4,"Persona"
"Bengoechea, Alfredo de",4,"Persona"
"Bengoechea, Hernán de",1,"Persona"
"Berger, Eric",1,"Persona"
"Bermejo, Luis",1,"Persona"
"Bernad, Julio",1,"Persona"
"Bernal Jiménez, Rafael",1,"Persona"
"Bernal, Luis",23,"Persona"
"Bernárdez, Francisco Luis",9,"Persona"
"Berrío París, Julio",1,"Persona"
"Berthoud, Eugène",1,"Persona"
"Bértis, Juan",1,"Persona"
"Bertot, Jean",1,"Persona"
"Betancourt T., Olga",1,"Persona"
"Betancourt V., Pedro P.",1,"Persona"
"Betancourt Villegas, Félix",12,"Persona"
"Betancourt, José Luis",13,"Persona"
"Betancourt, Julio",1,"Persona"
"Betancourt, Pedro Pablo",4,"Persona"
"Betancourt, Rómulo",1,"Persona"
"Betancur Arango, Carlos",1,"Persona"
"Betancur, Cayetano",1,"Persona"
"Beyle, Henri",1,"Persona"
"Biart, Lucien",1,"Persona"
"Bilac, Olavo",2,"Persona"
"Biroteau, César",1,"Persona"
"Bissière, Roger",1,"Persona"
"Bizancio, Luis de",1,"Persona"
"Blaine, James G.",1,"Persona"
"Blanc, Charles",1,"Persona"
"Blanco Asenjo, Ricardo",1,"Persona"
"Blanco Belmonte, Marcos Rafael",1,"Persona"
"Blanco Fombona, Horacio",3,"Persona"
"Blanco Fombona, Rufino",19,"Persona"
"Blanco Múzquiz, Miguel",1,"Persona"
"Blanco White, José María",1,"Persona"
"Blanco y Sánchez, Rufino",3,"Persona"
"Blanco, Alfredo",1,"Persona"
"Blanco, Eduardo",4,"Persona"
"Blanco, Héctor",1,"Persona"
"Blanco, Ignacio",3,"Persona"
"Blanco, Julio Enrique",1,"Persona"
"Blanmoco Beletón, M. R.",1,"Persona"
"Blasco Ibáñez, Vicente",3,"Persona"
"Blasco, Eusebio",1,"Persona"
"Blatz, William Emet",1,"Persona"
"Blomberg, Héctor Pedro",1,"Persona"
"Bobadilla, Emilio",3,"Persona"
"Boccioni, Umberto",1,"Persona"
"Bocquet, León",1,"Persona"
"Boëx, Joseph-Henry-Honoré",1,"Persona"
"Boëx, Séraphin-Justin-François",1,"Persona"
"Böhl de Faber y Ruiz de Larrea, Cecilia",1,"Persona"
"Boixet i Castells, Ezequiel",1,"Persona"
"Bolce, William Harold",1,"Persona"
"Bolet Peraza, Nicanor",3,"Persona"
"Bolet, Julio C.",1,"Persona"
"Bolívar, Simón",5,"Persona"
"Bonafoux y Quintero, Luis Tulio",6,"Persona"
"Bonilla y San Martín, Adolfo",2,"Persona"
"Bonilla, Gustavo",1,"Persona"
"Bonilla, J.",3,"Persona"
"Bonilla, Manuel Antonio",2,"Persona"
"Bonis, J. M.",1,"Persona"
"Bonnard, Abel",1,"Persona"
"Bonnard, Sylvestre",2,"Persona"
"Borda Tanco, Augusto",1,"Persona"
"Borda, Francisco de Paula",1,"Persona"
"Borda, José C.",3,"Persona"
"Borda, José Joaquín",2,"Persona"
"Bordeaux, Henry",2,"Persona"
"Bossa Herazo, Donaldo",1,"Persona"
"Bossa Navarro, Simón",1,"Persona"
